sqft,bedrooms,bathrooms,neighborhood,year_built,has_garden,floors,garage_capacity,condition,price
4322,3,4.0,Urban,2014,1,1,0,3,1109600.0
2043,5,1.5,Waterfront,1954,0,1,1,4,887600.0
4509,1,2.5,Suburb,1971,1,1,3,4,846300.0
1881,2,2.0,Urban,1962,0,1,1,4,476600.0
1255,3,3.0,Suburb,2014,1,1,0,1,323200.0
1694,2,2.5,Suburb,1965,0,3,2,3,451400.0
2184,2,2.0,Suburb,2013,0,1,2,4,471800.0
2758,4,1.5,Downtown,1981,1,2,1,4,896900.0
3872,4,1.5,Suburb,2000,1,3,1,4,790700.0
2796,3,3.5,Urban,2007,1,2,1,3,766400.0
1304,5,2.0,Suburb,1995,1,1,0,3,353600.0
2014,3,2.0,Suburb,2001,1,1,2,4,488200.0
2331,5,3.0,Rural,2012,0,1,1,4,464000.0
4240,2,2.0,Urban,2025,1,1,2,3,975900.0
1623,1,4.0,Suburb,2009,1,1,2,3,395400.0
1728,3,2.5,Urban,2014,1,2,2,5,609600.0
933,3,2.5,Suburb,2004,0,1,1,3,271700.0
2905,5,3.0,Suburb,2006,1,2,2,4,711700.0
4427,2,1.0,Suburb,2020,0,3,1,3,773600.0
2652,2,2.0,Suburb,2022,1,1,1,3,567900.0
4975,5,2.0,Rural,1975,1,1,2,4,733800.0
3733,2,1.5,Suburb,1961,1,2,1,2,637100.0
4084,4,2.5,Urban,2020,1,1,2,3,1032100.0
3611,1,3.5,Urban,1995,0,2,0,3,859000.0
2050,3,2.0,Suburb,1996,1,1,0,4,445600.0
4312,1,2.0,Suburb,1987,1,2,3,3,750200.0
2056,3,4.0,Suburb,1970,0,1,2,3,511500.0
4176,4,2.0,Suburb,1963,1,1,2,5,821900.0
4286,2,2.0,Rural,1951,0,2,2,3,582000.0
4384,5,2.0,Downtown,2021,1,1,1,2,1279400.0
2196,4,3.5,Suburb,2019,1,1,2,2,544000.0
4437,1,2.5,Suburb,1982,1,1,0,5,794700.0
4130,5,3.0,Suburb,1955,0,1,2,2,775600.0
3503,2,3.0,Rural,1986,0,2,2,3,543900.0
1270,4,2.0,Urban,1963,1,2,3,3,443600.0
2153,5,2.0,Rural,1986,1,2,2,4,462300.0
3583,4,3.0,Rural,1957,0,2,0,4,608500.0
3631,4,2.0,Urban,1962,0,1,2,3,837700.0
1157,2,3.0,Suburb,1989,0,1,0,1,258700.0
3819,3,3.5,Urban,2007,1,2,1,4,994600.0
1467,5,2.5,Urban,1967,1,2,0,3,522400.0
1945,2,2.5,Suburb,2006,1,1,2,5,510500.0
4985,4,3.0,Urban,1987,1,1,0,3,1162100.0
4519,2,3.0,Rural,1981,1,1,1,4,671300.0
3545,3,2.0,Urban,2015,1,2,3,2,886300.0
1339,5,1.0,Suburb,1974,0,2,2,4,352300.0
3579,3,2.0,Suburb,2007,1,1,0,3,647000.0
4936,1,2.5,Urban,2024,1,2,1,3,1153900.0
4575,5,2.0,Downtown,1982,1,1,2,2,1273800.0
3308,3,2.5,Waterfront,2015,1,1,2,2,1263800.0
3579,4,2.0,Urban,1979,1,2,0,2,862600.0
1724,5,2.5,Suburb,1983,1,1,2,3,474600.0
3756,5,1.5,Suburb,2018,1,1,2,4,805300.0
2381,2,2.5,Suburb,1997,0,3,2,3,546300.0
4124,4,2.0,Suburb,1989,1,2,3,4,814900.0
1055,1,1.5,Suburb,2000,1,2,2,2,280600.0
2638,3,2.0,Waterfront,1962,0,1,2,3,1023500.0
2744,2,2.5,Suburb,1980,1,1,1,3,549900.0
809,3,2.0,Suburb,1988,1,3,2,5,353500.0
3671,1,1.5,Suburb,2012,0,2,2,4,647000.0
1597,1,4.0,Downtown,1997,1,2,1,3,608800.0
1815,5,2.5,Urban,1997,1,1,2,4,609400.0
2624,1,4.0,Urban,2010,1,1,1,2,664500.0
3936,3,2.0,Suburb,1961,0,3,0,3,713900.0
2993,4,2.0,Downtown,2005,1,2,1,2,936500.0
1023,4,3.0,Rural,1967,0,1,2,3,271100.0
4958,5,2.0,Downtown,1976,1,1,3,3,1407900.0
4725,3,2.5,Urban,1977,1,1,1,4,1084400.0
4800,3,2.0,Suburb,2001,1,1,2,3,891000.0
2433,1,2.0,Suburb,1965,0,1,0,4,442600.0
2952,3,1.5,Urban,2007,0,1,3,3,750100.0
1310,2,1.5,Rural,1958,0,2,2,2,229900.0
1184,1,1.0,Downtown,1975,0,1,2,4,374000.0
1204,2,1.0,Suburb,1977,1,3,2,4,310400.0
2800,5,4.0,Suburb,1985,1,1,1,5,711200.0
3556,4,1.5,Rural,1958,1,2,2,3,558500.0
2468,5,2.5,Suburb,1996,1,1,3,4,621800.0
2260,4,3.0,Suburb,2000,0,2,0,4,548900.0
4436,5,2.5,Suburb,2025,0,3,2,2,892900.0
3524,3,1.5,Urban,2006,0,2,3,2,840300.0
4978,2,2.5,Suburb,1981,1,2,1,2,858500.0
2848,4,2.5,Waterfront,2016,1,1,2,3,1195900.0
4946,1,2.5,Urban,2006,0,2,3,3,1114200.0
1516,2,3.0,Downtown,2003,0,3,2,5,647800.0
2623,1,4.0,Rural,1965,1,3,1,3,438800.0
2881,2,2.5,Suburb,2011,1,1,1,4,612300.0
4219,2,2.0,Suburb,2005,1,3,0,4,844700.0
2374,5,2.5,Urban,1972,1,1,2,3,705000.0
1049,4,1.0,Downtown,1966,0,1,2,2,388100.0
1473,4,3.0,Rural,1987,1,1,2,3,370400.0
2965,2,1.5,Rural,2021,1,1,1,4,529800.0
1570,3,2.0,Downtown,1979,0,2,0,5,602500.0
4762,3,3.0,Suburb,2007,1,2,2,3,896900.0
2784,1,2.5,Urban,1971,1,2,2,4,705100.0
1877,1,2.0,Urban,1966,0,2,3,3,503700.0
1035,5,2.0,Downtown,1964,1,2,2,4,496200.0
1188,2,3.0,Rural,1997,0,2,2,3,304900.0
3837,1,2.0,Rural,1981,0,1,2,2,513600.0
2648,1,3.0,Urban,1989,1,2,2,2,684400.0
3614,2,1.0,Waterfront,2006,0,2,1,1,1195100.0
4174,5,3.0,Suburb,2007,1,2,3,3,900000.0
4078,1,3.0,Suburb,1965,1,2,2,4,776400.0
2052,5,1.5,Urban,1977,0,2,1,2,584600.0
4781,4,2.0,Waterfront,1950,1,1,0,3,1675100.0
2922,5,1.5,Downtown,1990,1,1,1,3,893800.0
2950,3,2.5,Waterfront,1997,1,2,2,4,1203300.0
2129,3,2.0,Rural,1980,1,1,1,4,388700.0
2158,5,2.5,Rural,1985,0,2,1,4,468400.0
3282,3,1.5,Urban,1982,1,1,2,3,786800.0
2817,4,1.5,Downtown,1982,1,1,0,3,825500.0
2131,2,1.0,Suburb,1972,1,2,2,4,428600.0
2158,3,2.0,Suburb,2009,0,1,1,2,463700.0
3977,3,2.5,Downtown,1979,1,2,2,3,1134500.0
2928,5,3.0,Rural,1994,0,1,0,2,505900.0
2980,4,2.5,Suburb,1988,1,1,1,4,647500.0
937,2,2.0,Urban,1994,1,2,1,4,390000.0
4272,5,4.0,Urban,1961,1,1,2,4,1103500.0
3632,5,2.5,Urban,1981,1,2,2,3,976400.0
4379,4,3.5,Suburb,2005,0,2,1,2,881800.0
3831,2,2.0,Urban,1973,0,1,2,5,885600.0
4964,4,2.0,Urban,1962,0,2,1,3,1101900.0
3393,2,1.0,Urban,1969,0,2,3,3,790600.0
4618,4,2.5,Urban,2005,0,1,3,3,1092600.0
4938,5,1.5,Suburb,2002,1,1,2,2,920200.0
4623,5,2.0,Rural,2017,1,1,2,2,727200.0
4842,1,2.0,Rural,2003,0,2,2,3,689600.0
2706,3,2.5,Suburb,1983,1,2,2,3,600700.0
1560,4,2.5,Urban,1977,1,2,2,3,514700.0
4245,1,1.5,Downtown,1999,1,2,3,4,1172200.0
1699,3,2.0,Urban,1951,1,2,2,3,477000.0
3747,4,2.5,Downtown,1975,0,2,2,3,1106700.0
2519,2,4.0,Suburb,2000,1,2,2,4,588500.0
1080,3,2.5,Suburb,1996,1,1,2,5,396300.0
4066,5,3.5,Suburb,1975,0,2,2,2,860600.0
2687,1,3.0,Suburb,2024,0,2,1,4,619700.0
4066,3,2.5,Rural,2023,0,2,1,3,668900.0
1466,3,1.5,Urban,2010,0,2,0,2,414900.0
4988,5,2.5,Waterfront,1972,1,1,2,3,1836300.0
1471,4,2.5,Suburb,1986,1,2,1,3,409800.0
2769,2,2.5,Rural,1990,0,1,3,4,453600.0
4956,5,2.0,Downtown,2001,1,2,2,3,1418000.0
3922,2,2.0,Suburb,1998,1,1,2,3,744700.0
4700,4,2.0,Downtown,1976,0,2,1,4,1296400.0
1323,3,2.0,Urban,1955,0,2,2,3,371300.0
3193,2,1.5,Waterfront,2023,0,2,2,4,1162700.0
3917,1,3.0,Suburb,2015,0,1,2,4,771000.0
3393,1,1.5,Urban,1973,0,3,1,3,714300.0
2768,5,1.0,Suburb,1987,0,2,2,5,617500.0
2553,4,2.0,Urban,1977,1,2,2,2,672000.0
3096,5,2.5,Suburb,1977,1,1,2,1,634300.0
3061,5,2.0,Suburb,2015,0,2,3,3,695100.0
3086,5,2.0,Urban,2010,0,1,2,3,831300.0
3678,1,2.5,Urban,1995,1,2,3,3,866900.0
4943,1,2.0,Downtown,2018,1,1,2,3,1269200.0
4444,5,3.5,Urban,2024,1,2,3,2,1178700.0
2855,1,3.5,Urban,2023,1,2,2,2,712100.0
2076,4,2.0,Rural,1992,0,1,1,4,411100.0
3566,5,2.0,Urban,2008,0,1,1,4,943200.0
1102,1,2.5,Urban,1951,1,2,1,4,395700.0
1438,2,1.0,Downtown,1964,0,1,0,4,419500.0
855,5,2.0,Waterfront,1986,1,2,0,3,593500.0
1325,5,2.0,Rural,2020,1,1,0,3,328500.0
4923,4,3.5,Downtown,1969,1,1,2,3,1411000.0
2925,3,1.0,Rural,1984,0,1,1,4,466300.0
4087,3,2.5,Suburb,1983,1,2,1,3,793200.0
1164,4,2.5,Urban,1980,1,1,2,1,398200.0
2446,4,2.0,Rural,1968,0,2,2,5,466700.0
1718,4,1.0,Urban,2017,0,2,3,4,569700.0
3597,3,4.0,Rural,1973,1,1,2,3,574900.0
2331,4,2.0,Suburb,1988,1,2,1,3,526900.0
4145,1,2.5,Urban,2003,1,1,1,5,978200.0
2706,5,1.5,Urban,1988,0,2,1,2,683400.0
3886,5,2.0,Waterfront,1966,1,1,1,3,1406400.0
2875,2,2.0,Urban,1968,1,1,1,3,698600.0
1513,2,1.0,Urban,1997,1,2,3,3,436100.0
1862,5,1.5,Suburb,1984,1,3,0,4,467200.0
2776,1,3.0,Rural,1981,1,1,0,3,442500.0
2096,3,1.5,Rural,1996,1,2,0,2,346100.0
925,3,1.5,Urban,1996,0,1,2,2,296100.0
4396,1,2.0,Urban,2013,1,2,1,1,945700.0
4083,3,3.0,Suburb,1995,1,2,1,3,808100.0
2403,4,1.0,Urban,1984,0,1,0,4,600500.0
866,5,2.5,Urban,1966,1,1,1,3,381800.0
1032,5,1.5,Rural,1991,1,1,0,3,240100.0
2956,1,1.0,Suburb,1978,0,1,2,4,537600.0
1969,3,1.0,Downtown,2019,0,1,0,3,584300.0
2958,2,3.0,Urban,1966,1,2,2,3,734800.0
2293,2,1.5,Downtown,1963,0,3,2,4,699000.0
4807,3,1.0,Rural,1973,1,1,2,3,697100.0
3272,2,2.0,Waterfront,2006,0,2,1,3,1197300.0
3460,1,3.0,Suburb,1999,1,2,1,3,683300.0
3539,1,2.0,Rural,2006,0,3,0,5,572100.0
2561,3,2.0,Waterfront,2010,0,2,2,3,1059100.0
4314,2,1.0,Suburb,1988,1,2,2,3,799500.0
2775,1,2.0,Urban,2004,1,1,1,3,645400.0
3162,1,2.5,Suburb,1985,0,1,2,2,565800.0
1676,4,2.5,Urban,1986,0,1,2,3,536100.0
4612,4,2.0,Waterfront,1963,1,1,2,3,1656900.0
4248,1,2.0,Suburb,1976,1,1,0,2,701100.0
2112,3,1.5,Urban,1980,1,2,2,3,562500.0
2260,5,2.0,Suburb,2022,1,1,0,1,502900.0
3509,5,1.0,Urban,1993,1,2,2,3,924000.0
3124,1,3.0,Suburb,2017,1,1,1,2,606500.0
2533,1,4.0,Suburb,1997,1,3,0,1,492800.0
2405,1,4.0,Suburb,2006,1,2,2,4,572600.0
3363,3,3.0,Suburb,2024,0,1,2,5,744200.0
4221,4,2.5,Waterfront,1971,0,1,1,3,1543700.0
4317,1,2.5,Suburb,1953,0,2,0,3,728600.0
3197,1,2.0,Suburb,2021,0,1,2,3,608000.0
4535,2,2.5,Suburb,1995,0,1,3,3,840200.0
3670,3,2.0,Suburb,2008,1,1,2,3,724700.0
1960,1,2.0,Urban,1983,1,3,3,3,551900.0
1042,2,3.0,Waterfront,1960,1,2,0,4,561700.0
3390,5,2.0,Suburb,1980,0,2,2,2,679500.0
1863,1,2.0,Downtown,1960,0,2,2,2,540500.0
3395,1,3.5,Urban,2005,1,3,2,4,891200.0
1719,2,1.0,Suburb,1987,0,3,0,4,365900.0
805,3,2.0,Urban,1970,1,3,2,3,343900.0
1267,1,3.5,Urban,1959,1,1,2,3,387900.0
4970,5,2.5,Urban,1975,0,1,2,3,1187500.0
803,1,2.0,Downtown,1957,0,2,2,3,278600.0
1445,5,1.5,Suburb,1957,1,2,2,3,368900.0
917,4,2.0,Waterfront,2009,1,1,2,3,608600.0
3728,4,3.0,Downtown,2021,1,1,1,3,1158800.0
3351,5,2.5,Suburb,1983,1,2,1,4,708900.0
1646,3,2.0,Urban,1965,0,2,2,4,511700.0
3562,1,1.0,Suburb,1962,1,1,3,3,608500.0
1941,1,1.0,Waterfront,2025,0,2,0,3,717700.0
2610,4,4.0,Urban,1971,0,2,2,3,769400.0
1523,5,2.0,Rural,1976,1,2,1,3,350900.0
1024,1,2.5,Suburb,2013,1,1,1,3,296100.0
2848,1,1.0,Urban,1951,0,1,2,4,616200.0
2373,3,2.5,Rural,1975,0,1,2,4,428700.0
2628,2,3.5,Rural,2018,0,1,0,4,472000.0
2717,4,2.5,Suburb,1979,0,2,2,4,613900.0
2826,4,1.5,Suburb,1957,0,1,2,5,594300.0
4544,2,2.5,Suburb,1987,1,3,3,3,883200.0
1701,1,3.0,Suburb,2010,1,1,0,5,467500.0
2839,3,2.0,Suburb,2014,1,1,2,2,589400.0
809,3,3.0,Urban,2016,1,2,1,2,388000.0
1060,4,2.5,Urban,1995,1,2,1,3,463100.0
2473,3,3.0,Suburb,2021,1,1,2,5,627300.0
3019,2,2.5,Suburb,1992,1,2,2,3,599300.0
2860,1,1.5,Urban,2008,0,2,0,3,633300.0
4513,2,2.0,Rural,1995,1,2,3,3,716400.0
2419,5,1.5,Rural,2021,1,2,2,3,469700.0
1120,4,3.5,Rural,1984,1,1,2,3,324600.0
2142,3,3.0,Downtown,1988,1,2,2,4,761700.0
3176,5,2.5,Downtown,2000,1,2,1,5,1097700.0
3632,3,2.0,Downtown,1953,1,1,2,4,1020200.0
3624,1,1.5,Urban,2000,0,1,1,3,780200.0
2794,1,3.0,Urban,1954,1,3,2,3,692800.0
3758,1,2.0,Suburb,2004,0,1,0,3,663300.0
2838,3,1.5,Urban,1969,0,1,1,3,666200.0
4290,5,2.5,Rural,1973,0,3,2,2,694400.0
4477,1,1.0,Urban,1985,1,1,1,4,952500.0
1918,5,2.0,Downtown,1983,0,1,1,3,694400.0
2404,3,2.0,Urban,2003,1,2,1,4,684700.0
4827,5,1.5,Suburb,1983,0,2,2,5,959400.0
1035,3,4.0,Suburb,1966,1,1,2,1,306100.0
2769,3,1.5,Urban,1954,1,2,1,5,697400.0
2708,4,1.5,Urban,1967,0,2,1,4,727700.0
1175,3,1.5,Downtown,2004,0,2,1,3,477100.0
4330,3,3.0,Suburb,2002,1,1,2,3,851800.0
3435,2,2.0,Downtown,1999,1,1,2,3,951200.0
2370,1,2.5,Urban,2021,1,1,0,3,566700.0
3360,4,1.0,Downtown,1994,0,2,1,3,953700.0
4191,4,1.0,Urban,1962,1,2,1,2,919200.0
3765,4,2.0,Urban,1965,1,3,1,3,916600.0
4443,2,3.0,Urban,1962,0,2,1,3,1017900.0
4650,3,3.0,Urban,1969,1,2,2,1,1083600.0
1672,1,1.0,Waterfront,2015,0,1,1,3,637200.0
2052,5,2.0,Rural,1996,1,2,2,3,420800.0
2114,3,3.5,Rural,1968,1,2,2,3,428700.0
3698,2,2.0,Waterfront,1994,0,2,1,2,1281700.0
877,3,3.0,Urban,1986,0,1,2,4,361300.0
3421,3,1.5,Urban,2003,0,3,2,3,836600.0
1400,2,3.5,Suburb,1955,1,1,1,2,355400.0
1865,4,3.0,Rural,1963,1,1,2,3,369900.0
2936,4,3.5,Downtown,1953,1,2,1,3,972300.0
3249,1,2.5,Urban,2004,1,2,2,2,754000.0
3143,1,2.0,Suburb,1983,0,1,2,3,578600.0
2663,4,3.5,Suburb,1976,1,2,2,4,642600.0
2118,5,2.0,Downtown,1956,1,1,2,4,783500.0
4397,3,2.0,Rural,1952,1,1,2,3,624300.0
4562,5,2.5,Downtown,1996,0,1,2,4,1336700.0
2990,3,3.0,Suburb,1951,0,2,2,3,634700.0
1792,4,3.5,Urban,1974,1,3,1,5,644900.0
3512,1,1.5,Waterfront,2009,1,2,2,2,1201000.0
2992,1,3.0,Urban,1973,0,3,0,3,706000.0
2048,5,2.5,Suburb,1964,1,1,0,3,499300.0
3854,1,1.0,Urban,1963,1,1,2,3,820700.0
4833,4,2.0,Suburb,2003,0,2,0,4,903600.0
2797,5,2.0,Suburb,1955,1,1,0,3,583100.0
4487,3,2.0,Waterfront,1967,1,2,2,1,1557400.0
2951,1,4.0,Downtown,1969,0,2,0,3,876500.0
4818,2,2.5,Urban,2011,1,3,1,3,1145300.0
3910,1,2.5,Suburb,1989,1,1,2,2,720100.0
2770,3,4.0,Rural,1988,1,1,2,5,534400.0
997,5,2.0,Rural,2001,0,2,2,4,338600.0
3426,3,3.0,Urban,1981,0,1,2,3,857700.0
2002,2,2.0,Downtown,2022,1,2,2,3,679800.0
2835,4,3.0,Urban,1976,0,1,2,3,757400.0
1277,1,1.5,Downtown,2001,1,1,1,4,409400.0
2054,5,3.5,Rural,2012,0,1,2,5,498100.0
1722,4,1.5,Suburb,2023,0,1,2,3,439600.0
1219,3,2.0,Suburb,2012,1,2,1,4,416300.0
3004,5,3.0,Suburb,1966,1,1,1,3,640500.0
3397,4,2.0,Rural,1998,1,1,0,3,513100.0
1920,5,2.5,Waterfront,1972,0,1,2,5,945600.0
3868,2,2.0,Suburb,2021,1,1,0,3,746100.0
1750,2,2.5,Waterfront,1962,0,1,2,3,732900.0
3136,1,1.5,Suburb,1972,1,1,2,4,598400.0
3043,1,1.0,Waterfront,2006,1,2,2,3,1048600.0
3445,2,2.0,Urban,2011,0,2,1,3,797100.0
2657,5,2.0,Waterfront,2003,1,2,2,5,1239400.0
2665,2,1.5,Rural,1969,0,2,1,4,442000.0
3712,1,2.0,Urban,2001,1,1,2,4,853500.0
3653,2,2.0,Waterfront,1972,1,2,2,3,1320700.0
4028,2,1.0,Rural,1984,1,2,0,3,565300.0
4519,5,2.5,Rural,2016,1,1,3,5,797700.0
4028,4,3.0,Suburb,1983,0,2,1,3,831700.0
3171,1,1.5,Waterfront,1982,0,1,3,2,1032800.0
3691,5,2.5,Urban,1995,0,1,0,3,918600.0
4556,2,2.5,Urban,1994,1,2,1,3,1041500.0
894,2,2.0,Rural,1968,1,1,0,2,170000.0
3474,4,2.5,Rural,1964,0,1,0,4,523300.0
2755,1,2.0,Downtown,2015,1,1,2,5,848100.0
1593,1,2.0,Rural,1988,0,1,2,3,252500.0
2634,3,1.0,Urban,1967,0,1,2,4,612100.0
2916,1,2.5,Waterfront,2019,1,2,1,4,1114300.0
4906,4,2.5,Suburb,2008,1,2,1,4,1001500.0
4125,3,1.0,Urban,1981,1,2,2,1,937400.0
3719,3,2.0,Rural,1970,0,1,1,2,528900.0
3397,2,4.0,Urban,1989,1,3,2,2,876900.0
4005,2,2.0,Suburb,1976,0,2,2,1,690100.0
1614,1,2.0,Urban,1951,0,1,0,3,379900.0
1145,3,3.5,Suburb,1988,1,2,2,3,412600.0
3149,2,2.5,Suburb,2005,1,2,2,3,625700.0
1162,4,2.5,Urban,1962,0,2,2,2,435100.0
3243,2,3.0,Suburb,2005,0,1,0,3,604000.0
3065,2,3.0,Urban,2015,1,1,1,3,772300.0
2988,3,2.0,Suburb,2005,0,2,1,4,628400.0
3805,3,2.0,Urban,1977,1,2,1,1,863600.0
4081,5,2.0,Suburb,2013,1,2,1,4,854300.0
1784,4,4.0,Urban,2020,0,2,2,5,693200.0
2439,3,2.5,Rural,2013,1,2,2,4,488500.0
1627,1,1.0,Suburb,2005,1,1,2,4,329900.0
3530,4,3.0,Suburb,1990,0,2,1,5,780900.0
4331,4,2.0,Urban,1990,1,1,3,3,1051700.0
3735,3,1.0,Suburb,1953,0,2,0,5,705700.0
4676,4,2.0,Downtown,2006,1,2,2,4,1384300.0
926,3,2.0,Downtown,1979,0,1,3,4,444500.0
3977,2,3.0,Suburb,1995,1,2,2,3,804700.0
3856,5,1.5,Urban,2005,0,1,3,3,956300.0
1403,2,3.0,Rural,1980,0,1,2,4,280000.0
4249,3,2.5,Suburb,1956,1,1,1,3,790100.0
4946,3,1.0,Urban,2003,0,1,1,4,1098400.0
4333,2,4.0,Urban,1957,0,1,1,2,980700.0
4167,1,2.0,Urban,2004,0,1,0,3,891200.0
4168,1,2.0,Suburb,2018,0,2,2,3,769800.0
4597,1,2.0,Suburb,1993,1,2,1,3,802700.0
2592,3,3.0,Rural,1962,1,2,2,2,447800.0
3661,4,2.0,Urban,1969,0,1,1,2,827100.0
4276,3,1.5,Urban,1981,1,3,1,3,969200.0
4217,4,1.5,Urban,2009,1,2,3,3,1002400.0
2445,2,2.0,Suburb,1999,1,1,1,2,517900.0
2005,5,3.0,Suburb,1976,0,2,2,5,564600.0
3830,4,2.0,Suburb,1974,1,1,2,4,782200.0
3672,1,1.5,Rural,2001,1,2,1,4,537700.0
3872,3,1.5,Suburb,2017,1,1,2,2,718800.0
2654,2,2.0,Downtown,1970,1,1,1,3,768100.0
4821,1,3.5,Downtown,1967,0,2,2,3,1317500.0
3508,2,2.0,Urban,1988,1,1,2,5,845400.0
4302,5,4.0,Suburb,1964,1,1,1,4,888600.0
2132,3,2.0,Rural,2002,1,3,2,3,411400.0
1001,3,1.5,Downtown,1987,0,3,1,4,445300.0
4307,5,3.0,Rural,1997,1,2,2,2,688700.0
1374,3,2.0,Waterfront,2001,1,1,2,1,620000.0
1336,4,2.5,Suburb,2021,1,1,2,4,441300.0
2425,2,4.0,Suburb,1977,1,2,2,2,555100.0
2922,1,1.0,Waterfront,1965,1,1,1,2,916800.0
1185,5,1.0,Rural,1965,0,1,3,4,271300.0
4081,4,2.5,Urban,1984,1,2,1,3,997600.0
1274,1,2.0,Urban,1966,0,1,2,3,372100.0
1217,1,1.5,Suburb,2022,1,1,0,5,272600.0
4400,5,1.0,Suburb,2001,0,1,3,3,844300.0
1754,4,1.0,Urban,1961,1,1,2,3,496900.0
2005,1,3.0,Urban,1997,1,1,2,2,518400.0
4920,1,1.5,Rural,1971,1,1,0,2,613500.0
2790,4,2.0,Waterfront,1998,0,1,2,2,1114700.0
4372,3,2.5,Suburb,2001,1,2,2,2,829500.0
4958,1,2.0,Suburb,1950,0,2,2,3,859300.0
3513,2,1.0,Suburb,2015,0,1,1,3,629500.0
3003,4,3.0,Rural,2013,0,2,1,4,578500.0
3920,1,1.0,Rural,1957,1,1,0,4,525400.0
1766,5,3.0,Waterfront,1974,1,1,1,4,947000.0
4232,2,3.0,Suburb,2015,1,1,1,3,793600.0
1488,1,2.0,Rural,2022,1,2,1,2,286800.0
4501,2,2.0,Rural,2022,0,2,0,4,679100.0
1141,2,2.0,Urban,2019,1,2,1,3,387800.0
2524,3,2.0,Downtown,2000,0,1,0,2,759100.0
2592,2,3.0,Suburb,2002,0,1,3,4,543500.0
2559,3,3.0,Rural,1964,0,2,2,3,469600.0
4012,4,2.0,Suburb,1999,1,1,1,3,736600.0
1789,3,2.5,Rural,2020,1,2,2,4,412200.0
3062,5,3.5,Rural,2024,0,2,2,5,654900.0
3282,1,4.0,Suburb,1987,1,2,3,3,665700.0
1751,4,2.0,Suburb,1989,1,3,0,3,457500.0
1522,4,2.0,Urban,2015,0,3,1,3,532800.0
4189,5,2.0,Suburb,1988,1,2,3,4,877700.0
2879,3,4.0,Waterfront,2023,1,2,1,2,1238300.0
3517,1,1.5,Waterfront,1966,1,1,0,3,1143000.0
3132,3,2.5,Urban,1956,1,3,0,5,789700.0
4176,2,2.0,Suburb,1988,1,1,0,3,737000.0
2300,3,2.0,Suburb,2017,0,1,3,5,575800.0
1085,4,2.0,Suburb,1984,1,1,1,5,358000.0
4295,1,4.0,Urban,2000,1,1,3,3,1023000.0
2865,3,1.0,Suburb,1996,0,2,3,4,621900.0
1568,1,2.5,Downtown,1985,1,2,2,3,536600.0
3857,1,1.0,Waterfront,2013,1,1,0,4,1283200.0
2961,2,1.5,Suburb,1962,0,1,0,4,539800.0
4093,2,2.0,Urban,1967,1,3,1,3,927200.0
1746,4,2.0,Rural,1970,1,2,1,4,380200.0
4135,5,2.0,Suburb,2014,0,2,2,4,879100.0
4950,1,2.0,Suburb,1957,0,1,1,3,824000.0
2281,5,1.0,Suburb,1997,0,2,3,2,528700.0
2701,4,2.0,Downtown,1992,1,1,2,2,803700.0
4251,1,4.0,Suburb,2002,1,1,2,3,797600.0
4864,1,3.5,Suburb,1976,1,1,2,5,906800.0
854,5,2.0,Urban,1968,0,1,0,4,359800.0
2623,3,2.5,Urban,1972,0,1,1,3,649600.0
4262,2,3.5,Suburb,1999,0,3,0,3,839100.0
3879,3,1.0,Downtown,2000,1,1,0,3,1036200.0
1632,5,3.0,Urban,1992,1,1,2,2,565000.0
3606,2,3.5,Suburb,2000,1,1,1,3,713300.0
3290,3,1.0,Rural,2018,0,1,1,3,493400.0
1127,2,1.5,Suburb,1990,1,2,3,3,308700.0
4110,1,4.0,Downtown,2021,1,1,0,5,1236000.0
4100,3,2.0,Urban,1960,0,2,2,3,905000.0
4475,2,1.0,Downtown,2001,1,1,0,3,1159100.0
3854,2,2.0,Suburb,1972,0,2,1,2,712900.0
2943,2,2.0,Rural,1998,0,2,2,5,538200.0
2111,3,2.5,Rural,1987,0,2,3,4,409100.0
3991,4,2.5,Suburb,1996,1,2,1,4,812400.0
3338,3,4.0,Urban,2021,1,2,0,3,925200.0
4783,5,2.0,Downtown,1956,0,1,1,3,1309200.0
964,3,2.0,Suburb,2015,0,2,0,3,293200.0
1622,2,2.0,Suburb,2011,1,2,1,2,376200.0
1743,1,2.0,Suburb,1978,1,2,2,4,379300.0
1574,3,1.5,Suburb,1987,1,1,0,5,392500.0
2998,3,4.0,Suburb,1982,0,1,1,2,596000.0
3956,2,3.0,Rural,1978,0,2,2,2,598900.0
4495,1,2.0,Suburb,1972,0,1,1,4,755600.0
4252,1,2.5,Rural,1952,0,1,0,3,558300.0
1714,5,1.5,Suburb,1994,1,1,3,3,447100.0
2108,3,2.0,Rural,1957,1,2,1,4,390900.0
4977,1,2.5,Urban,1978,1,3,2,3,1120200.0
1313,1,2.0,Suburb,1951,1,1,1,4,294900.0
2720,4,4.0,Waterfront,1999,0,1,1,3,1203300.0
4394,4,2.5,Suburb,2014,0,1,1,4,858000.0
2209,1,2.0,Suburb,1969,1,1,1,4,480100.0
3990,5,3.0,Suburb,2001,0,2,0,4,856800.0
2355,1,1.5,Rural,1986,0,2,1,1,312600.0
1604,2,2.0,Downtown,2021,0,1,2,3,547800.0
2079,3,2.0,Rural,1976,0,2,2,2,326900.0
4377,5,2.0,Waterfront,1996,0,2,0,3,1649600.0
3701,2,3.0,Downtown,1955,1,1,2,4,1044700.0
2187,5,2.0,Urban,2009,1,1,2,3,685800.0
